total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-27,2024-02-29,2,0,Room Mate Leo,US$210,8.8,Excellent,"4,205"
,2024-02-27,2024-02-29,2,0,limehome Granada Calle Santa Ana,US$145,8.8,Excellent,"1,728"
,2024-02-27,2024-02-29,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$182,8.6,Excellent,"4,603"
Commission,,,,,,,,,
,2024-02-27,2024-02-29,2,2,Apartamentos Caballerizas Granada con parking gratuito en pleno centro,US$257,9.1,Wonderful,723
,2024-02-27,2024-02-29,2,2,Granada City Center,US$286,9.4,Wonderful,159
,2024-02-27,2024-02-29,2,2,Luxury Alhambra Penthouse Collection,US$226,8.6,Excellent,622
,2024-02-27,2024-02-29,2,2,BnS Dauro Suites,US$167,9.1,Wonderful,224
,2024-02-27,2024-02-29,2,2,Porcel Alixares,US$218,8.4,Very Good,"9,184"
,2024-02-27,2024-02-29,2,2,Porcel Navas,US$211,8.7,Excellent,"2,108"
,2024-02-27,2024-02-29,2,2,Casa Palacio López Daza,US$214,9.0,Wonderful,374
,2024-02-27,2024-02-29,2,2,Central Deluxe Apartments by Apolo Homes,US$302,9.0,Wonderful,107
,2024-02-27,2024-02-29,2,2,Smart Suites Albaicin,US$222,9.2,Wonderful,"5,851"
,2024-02-27,2024-02-29,2,2,Pension Venecia Gomerez,US$165,8.4,Very Good,978
,2024-02-27,2024-02-29,2,2,Genteel Home Zacatín,US$213,9.1,Wonderful,520
,2024-02-27,2024-02-29,2,2,Domus Apartamentos Granada con parking gratuito en pleno centro,US$264,9.4,Wonderful,"1,433"
,2024-02-27,2024-02-29,2,2,ADANAR-Apartamentos Muralla Zirí,US$250,8.6,Excellent,228
,2024-02-27,2024-02-29,2,2,APN Hatabin,US$148,8.7,Excellent,524
,2024-02-27,2024-02-29,2,2,Apartamentos Mirador Alhambra,US$159,8.3,Very Good,257
,2024-02-27,2024-02-29,2,2,BiBo Suites Oro del Darro,US$281,9.3,Wonderful,"2,483"
,2024-02-27,2024-02-29,2,2,Anacapri,US$292,8.7,Excellent,"3,517"
,2024-02-27,2024-02-29,2,2,Porcel Sabica,US$211,8.3,Very Good,"4,372"
,2024-02-27,2024-02-29,2,2,Sercotel Granada Suites,US$346,9.2,Wonderful,"1,780"
,2024-02-27,2024-02-29,2,2,EnjoyGranada PLAZA NUEVA HOMES,US$207,9.0,Wonderful,117
,2024-02-27,2024-02-29,2,2,Palacio Cabrera - Lillo,US$223,9.1,Wonderful,"2,332"
,2024-02-27,2024-02-29,2,2,tuGuest San Gil Apartments,US$314,8.9,Excellent,288
,2024-02-27,2024-02-29,2,2,Hostal Sonia Granada,US$184,8.0,Very Good,"2,372"
,2024-02-27,2024-02-29,2,2,Casa Miravalle Catedral,US$292,9.2,Wonderful,"1,110"
,2024-02-27,2024-02-29,2,2,Boutique Hotel Luna Granada Centro,US$351,9.1,Wonderful,988
73%,,,,,,,,,
,2024-02-27,2024-02-29,5,0,Granada City Center,US$286,9.4,Wonderful,159
,2024-02-27,2024-02-29,5,0,Pepa Home,US$273,8.9,Excellent,581
,2024-02-27,2024-02-29,5,0,Apartamentos Correo Viejo de Granada,US$331,8.5,Very Good,790
,2024-02-27,2024-02-29,5,0,Apartamentos Turísticos Mauror,US$439,9.4,Wonderful,718
,2024-02-27,2024-02-29,5,0,Granada Home Centro,US$308,8.3,Very Good,378
,2024-02-27,2024-02-29,5,0,Arte Vida Suites & Spa,US$284,8.7,Excellent,"1,130"
,2024-02-27,2024-02-29,5,0,Elegante piso reformado a 1km del centro,US$197,-,-,-
,2024-02-27,2024-02-29,5,0,Casa de la Alegría,US$173,9.0,Wonderful,721
,2024-02-27,2024-02-29,5,0,Domus Apartamentos Granada con parking gratuito en pleno centro,US$338,9.4,Wonderful,"1,433"
,2024-02-27,2024-02-29,5,0,ISA Granada,US$356,8.6,Excellent,"2,545"
,2024-02-27,2024-02-29,5,0,BiBo Suites Gran Vía,US$319,9.0,Wonderful,"3,271"
,2024-02-27,2024-02-29,5,0,Carmen Vistas de la Alhambra,US$217,7.7,Good,911
,2024-02-27,2024-02-29,5,0,Imeda Apartamentos Escudo del Carmen 19,US$286,9.0,Wonderful,375
,2024-02-27,2024-02-29,5,0,BiBo Suites Plaza Nueva,US$340,9.2,Wonderful,"2,862"
,2024-02-27,2024-02-29,5,0,BiBo Suites Oro del Darro,US$366,9.3,Wonderful,"2,483"
,2024-02-27,2024-02-29,5,0,BiBo Suites Real Chancilleria,US$420,9.5,Exceptional,"1,973"
,2024-02-27,2024-02-29,5,0,APARTAMENTO GARDEN ART IV,US$225,9.5,Exceptional,64
,2024-02-27,2024-02-29,5,0,Genteel Home Recogidas,US$348,9.3,Wonderful,142
,2024-02-27,2024-02-29,5,0,tuGuest Clave de Sol Apartment,US$302,8.6,Excellent,64
