check-in,tipo,pax,1,6,8,13,15,20,22,27
2024-05-23,Hotel,2,65.16025641025641,65.9423076923077,66.60000000000001,72.14,72.28,71.48,73.97736909533484,70.21333333333332
2024-05-28,Hotel,2,59.019230769230774,63.81410256410256,69.47435897435898,65.46,63.27564102564102,55.21333333333333,54.22666666666667,55.83369028006589
2024-05-30,Hotel,2,65.03846153846153,65.74358974358974,68.31410256410255,71.73717948717949,73.93589743589745,70.48666666666666,77.34666666666666,74.62
2024-06-04,Hotel,2,53.057692307692314,54.5,53.40384615384615,57.17307692307693,57.36538461538461,58.26666666666667,51.1,51.21333333333333
2024-06-06,Hotel,2,62.82666666666666,66.66666666666667,73.75333333333333,69.90384615384615,79.57051282051282,79.28205128205128,76.51282051282051,78.07333333333334
2024-06-11,Hotel,2,47.89102564102564,47.47333333333333,54.90384615384615,52.61538461538461,58.59615384615385,52.89743589743589,53.85256410256411,56.14102564102564
2024-06-13,Hotel,2,66.64102564102565,63.705128205128204,63.50666666666667,70.9423076923077,67.92307692307692,63.91025641025641,71.27564102564102,72.36538461538461
2024-04-16,Hotel,4,59.65,57.23666666666667,50.82051282051282,66.97666666666667,61.550000000000004,47.4,45.28333333333333,46.705128205128204
2024-04-18,Hotel,4,87.08333333333333,100.67666666666666,108.83,120.94333333333333,113.24666666666667,108.33,99.50333333333333,121.52999999999999
2024-04-23,Hotel,4,68.89,70.76666666666667,80.21,82.06,68.20666666666666,79.59666666666666,78.22333333333333,62.449999999999996
2024-04-25,Hotel,4,88.80333333333334,51.97333333333333,79.78666666666668,85.68333333333334,88.97333333333334,105.5,97.53333333333335,86.02666666666666
2024-04-30,Hotel,4,57.14333333333334,66.50666666666667,76.34,82.86666666666666,88.58666666666666,84.40666666666667,90.65333333333332,89.41333333333334
2024-05-02,Hotel,4,100.75269632070291,100.61333333333333,105.95,112.04333333333334,105.65333333333332,112.86333333333333,111.98,114.26333333333334
2024-05-07,Hotel,4,53.25,58.684914712934,57.45333333333334,50.26666666666667,60.06333333333333,58.919871794871796,62.093333333333334,45.97666666666667
2024-05-09,Hotel,4,74.28,75.98333333333333,85.19694355697551,86.58,78.14333333333333,80.77333333333333,77.02,78.09
2024-05-14,Hotel,4,51.96666666666667,43.93333333333334,46.89333333333334,43.598329002079005,44.01333333333333,45.22666666666667,53.0,49.34294871794872
2024-05-16,Hotel,4,70.68666666666667,70.71333333333332,77.47333333333333,84.64333333333333,84.32863247863249,81.01666666666667,84.38666666666667,79.73333333333333
2024-05-21,Hotel,4,53.556666666666665,40.78333333333333,41.36,38.34666666666667,43.73333333333333,35.42806709265176,95.125,42.95666666666667
2024-05-23,Hotel,4,55.00666666666667,50.75,50.843333333333334,52.76333333333333,55.669999999999995,61.70333333333334,58.91615750654294,56.36000000000001
2024-05-28,Hotel,4,56.81,74.98,76.31,60.39666666666667,67.07333333333334,58.803333333333335,65.11333333333333,62.964096650192204
2024-05-30,Hotel,4,63.306666666666665,62.36538461538461,78.07000000000001,68.74038461538461,40.50666666666667,79.05666666666666,86.32,82.52666666666667
2024-06-04,Hotel,4,47.18333333333334,50.68589743589744,50.449999999999996,56.73717948717948,52.40064102564102,52.68666666666667,43.34,43.23666666666667
2024-06-06,Hotel,4,76.13666666666667,80.64,84.71,79.91,88.98333333333333,88.23717948717949,114.58333333333333,78.82666666666667
2024-06-11,Hotel,4,48.64333333333334,41.32,54.58974358974359,48.932692307692314,49.39743589743589,50.381410256410255,45.11538461538461,43.77243589743589
2024-06-13,Hotel,4,94.3974358974359,74.5,74.92,79.92666666666666,79.89333333333333,76.84333333333333,82.27666666666667,80.33653846153847
2024-04-16,Hotel,5,55.18933333333334,46.87200000000001,50.61025641025642,45.632000000000005,48.96,49.40266666666667,43.800000000000004,47.96923076923077
2024-04-18,Hotel,5,101.20799999999998,109.16000000000001,94.62133333333333,133.65066666666667,115.00266666666666,118.47733333333333,87.37333333333333,93.17066666666666
2024-04-23,Hotel,5,24.266666666666666,67.12266666666666,63.47466666666667,65.57866666666666,62.178666666666665,63.85333333333333,62.333333333333336,62.864000000000004
2024-04-25,Hotel,5,98.968,99.31733333333334,94.45866666666667,98.66666666666667,97.86133333333333,105.93589743589742,99.42399999999999,91.128
2024-04-30,Hotel,5,73.74133333333333,67.41333333333334,85.78666666666668,85.11999999999999,87.35466666666666,80.27466666666666,96.38666666666666,63.632000000000005
2024-05-02,Hotel,5,128.32904997254258,120.8,129.56533333333334,129.56533333333334,118.87733333333334,113.96266666666668,119.87733333333334,117.81066666666668
2024-05-07,Hotel,5,52.64266666666666,49.20874803711634,51.343999999999994,47.903999999999996,52.86933333333334,54.024,53.053333333333335,55.541333333333334
2024-05-09,Hotel,5,92.42933333333333,73.27199999999999,81.49160809371672,78.78133333333334,73.78133333333334,75.46933333333332,71.76,66.71466666666667
2024-05-14,Hotel,5,51.397333333333336,49.834666666666664,51.256,57.31427027027027,56.51733333333333,55.394666666666666,50.56,51.38933333333333
